,id,imdb_id,Title,genres,keywords,overview,director,actors
215,442062,tt5664636,Goosebumps 2: Haunted Halloween,Adventure Comedy Fantasy Family Horror,halloween sequel basedonchildren'sbook glasses horrorforchildren ventriloquist'sdummy,Be careful what you wish for With their after school junk business best friends Sonny and Sam hope to find treasure in other people’s trash But when cleaning out the old Stine house they open a locked book that frees a supernatural nightmare – Slappy! Now with the help of Sonny’s sister Sarah they’re in a race against time to get the sinister dummy and all the creatures he’s brought to life back into the pages before he unleashes total pandemonium!,AriSandel,WendiMcLendon-Covey MadisonIseman JeremyRayTaylor
216,451915,tt1226837,Beautiful Boy,Drama,"sanfrancisco,california basedonnovelorbook drugaddiction biography basedontruestory drugrehabilitation basedonmemoirorautobiography fathersonrelationship",After he and his first wife separate journalist David Sheff struggles to help their teenage son who goes from experimenting with drugs to becoming devastatingly addicted to methamphetamine,FelixvanGroeningen,SteveCarell TimothéeChalamet MauraTierney
217,520596,tt7461200,The Oath,Comedy,holiday loyalty thanksgiving politics interracialmarriage family race blackfriday,In a politically-divided United States a man struggles to make it through the Thanksgiving holiday without destroying his family,IkeBarinholtz,IkeBarinholtz TiffanyHaddish NoraDunn
218,537751,tt3722234,Gosnell: The Trial of America's Biggest Serial Killer,Drama Crime,"philadelphia,pennsylvania basedonnovelorbook basedontruestory serialkiller abortion",The story of the investigation and trial of abortion provider Dr Kermit Gosnell,NickSearcy,EarlBillings DeanCain SarahJaneMorris
219,820525,tt15334488,After Everything,Romance Drama,sequel dysfunctionalrelationship basedonyoungadultnovel fanfic,Besieged by writer’s block and the crushing breakup with Tessa Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself Hoping to win back Tessa he realizes he needs to change his ways before he can make the ultimate commitment,HannahMarks JoeyPower,
220,948,tt0077651,Halloween,Horror Thriller,mask babysitter halloween police stalking serialkiller marijuana maniac killingspree family evil psychotic escapedkiller,Fifteen years after murdering his sister on Halloween Night 1963 Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield Illinois to kill again,DavidGordonGreen,JamieLeeCurtis JudyGreer AndiMatichak
221,470044,tt5580266,The Hate U Give,Crime Drama,basedonnovelorbook riot trauma protest highschool teenagegirl racism policeofficer preparatoryschool racialprofiling basedonyoungadultnovel,Raised in a poverty-stricken slum a 16-year-old girl named Starr now attends a suburban prep school After she witnesses a police officer shoot her unarmed best friend she's torn between her two very different worlds as she tries to speak her truth,GeorgeTillmanJr.,AmandlaStenberg ReginaHall RussellHornsby
222,401847,tt4595882,Can You Ever Forgive Me?,Drama Crime Comedy,newyorkcity basedonnovelorbook cat biography basedontruestory author alcoholic womandirector forgery femalewriter,When a bestselling celebrity biographer is no longer able to get published because she has fallen out of step with current tastes she turns her art form to deception,MarielleHeller,MelissaMcCarthy RichardE.Grant
223,437586,tt5613484,Mid90s,Drama Comedy,"california skateboarding dysfunctionalfamily comingofage losangeles,california misogyny 1990s skatepunk toxicmasculinity gaytheme teenager",Stevie is a sweet 13-year-old about to explode His mom is loving and attentive but a little too forthcoming about her romantic life His big brother is a taciturn and violent bully So Stevie searches his working-class Los Angeles suburb for somewhere to belong He finds it at the Motor Avenue skate shop,JonahHill,SunnySuljic LucasHedges KatherineWaterston
224,417812,tt5929754,Wildlife,Drama,fire montana basedonnovelorbook bus infidelity golf teenageboy 1960s wildfire,14-year-old Joe is the only child of Jeanette and Jerry — a housewife and a golf pro — in a small town in 1960s Montana Nearby an uncontrolled forest fire rages close to the Canadian border and when Jerry loses his job (and his sense of purpose) he decides to join the cause of fighting the fire leaving his wife and son to fend for themselves,PaulDano,CareyMulligan JakeGyllenhaal EdOxenbould
225,451919,tt6662736,What They Had,Drama,alzheimer'sdisease snow blizzard womandirector motherdaughterrelationship,A woman must fly back to her hometown when her Alzheimer's-stricken mother wanders into a blizzard The return home forces her to confront her past,ElizabethChomko,HilarySwank MichaelShannon RobertForster
226,399402,tt1846589,Hunter Killer,Action Thriller,"submarine washingtondc,usa sniper pentagon u.s.navy specialforces russianarmy navalbase russianpresident postcoldwar",Captain Glass of the USS Arkansas discovers that a coup d'état is taking place in Russia so he and his crew join an elite group working on the ground to prevent a war,DonovanMarsh,GerardButler GaryOldman Common
227,463272,tt6921996,Johnny English Strikes Again,Action Adventure Comedy,spy slapstickcomedy sequel parody,Disaster strikes when a criminal mastermind reveals the identities of all active undercover agents in Britain The secret service can now rely on only one man - Johnny English Currently teaching at a minor prep school Johnny springs back into action to find the mysterious hacker For this mission to succeed he’ll need all of his skills - what few he has - as the man with yesterday’s analogue methods faces off against tomorrow’s digital technology,DavidKerr,RowanAtkinson OlgaKurylenko BenMiller
228,11906,tt0076786,Suspiria,Horror,germany witch boardingschool ballet whodunit youngwoman gothic cultfilm evil coven(akelarre) balletschool,An American newcomer to a prestigious German ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders,LucaGuadagnino,DakotaJohnson TildaSwinton MiaGoth
229,514407,tt6512428,Indivisible,Drama War,army faith god iraqwar chaplain christianfilm,Upon returning from serving in the US Army Chaplain Darren Turner faces a crisis that shatters his Family and Faith in God but through the help of his fellow soldiers he returns to his faith and family,DavidG.Evans,SarahDrew JustinBruening JasonGeorge
230,502791,tt6140148,Bullitt County,Action Drama Thriller,1970s camping kentucky wilderness autumn buriedtreasure bachelorparty,An action/thriller set in 1977 about four friends who reunite for a bachelor party to hunt for buried Prohibition money on Kentucky's Bluegrass Bourbon Trail only to become ripped apart by greed corruption and murder,DavidMcCracken,MikeC.Nelson JenniMelear DavidMcCracken
231,424694,tt1727824,Bohemian Rhapsody,Music Drama History,"london,england aids 1970s queen musician biography basedontruestory hiv malehomosexuality singer fame rockband lgbt 1980s gaytheme musicmovie",Singer Freddie Mercury guitarist Brian May drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970 Hit songs become instant classics When Mercury's increasingly wild lifestyle starts to spiral out of control Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess,BryanSinger,RamiMalek LucyBoynton GwilymLee
232,426543,tt5523010,The Nutcracker and the Four Realms,Fantasy Adventure Family,magic fairytale princess betrayal magicalobject basedonshortstory christmas,When Clara’s mother leaves her a mysterious gift she embarks on a journey to four secret realms—where she discovers her greatest strength could change the world,"LasseHallström,JoeJohnston",KeiraKnightley MackenzieFoy EugenioDerbez
233,11593,tt0110684,Nobody's Fool,Drama Comedy,smalltown illegalemployment retirement newyorkstate,Sully is a rascally ne'er-do-well approaching retirement age While he is pressing a worker's compensation suit for a bad knee he secretly works for his nemesis Carl and flirts with Carl's young wife Toby Sully's long- forgotten son and family have moved back to town so Sully faces unfamiliar family responsibilities Meanwhile Sully's landlady's banker son plots to push through a new development and evict Sully from his mother's life,TylerPerry,TiffanyHaddish TikaSumpter OmariHardwick
234,472451,tt7008872,Boy Erased,Drama,homophobia basedontruestory comingofage religion basedonmemoirorautobiography lgbt lgbtteen collegestudent dread conversiontherapy lgbtinterest,Jared the son of a Baptist pastor in a small American town is outed to his parents at age 19 Jared is faced with an ultimatum: attend a gay conversion therapy program – or be permanently exiled and shunned by his family friends and faith,JoelEdgerton,LucasHedges NicoleKidman RussellCrowe
235,475132,tt2368254,A Private War,Drama War,"journalist warcorrespondent biography palestinian-israeliconflict syria basedonmagazine,newspaperorarticle",One of the most celebrated war correspondents of our time Marie Colvin is an utterly fearless and rebellious spirit driven to the frontlines of conflicts across the globe to give voice to the voiceless,MatthewHeineman,RosamundPike JamieDornan StanleyTucci
236,431491,tt5883570,Bodied,Drama Comedy Music,rapmusic hip-hop cat college thesis battlerap,A progressive graduate student finds success and sparks outrage when his interest in battle rap as a thesis subject becomes a competitive obsession,JosephKahn,CalumWorthy JackieLong RoryUphold
237,476764,tt7074886,The Front Runner,Drama History,colorado senator scandal biography politics politician basedontruestory loveaffair presidentialcampaign 1980s,Gary Hart former Senator of Colorado becomes the front-runner for the Democratic presidential nomination in 1987 Hart's intelligence charisma and idealism makes him popular with young voters leaving him with a seemingly clear path to the White House All that comes crashing down when allegations of an extramarital affair surface in the media forcing the candidate to address a scandal that threatens to derail his campaign and personal life,JasonReitman,HughJackman VeraFarmiga J.K.Simmons
238,360920,tt2709692,The Grinch,Animation Family Comedy Fantasy,holiday remake surrealism basedonchildren'sbook christmas,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration,YarrowCheney ScottMosier,BenedictCumberbatch RashidaJones KenanThompson
239,446807,tt5177088,The Girl in the Spider's Web,Thriller,"basedonnovelorbook sweden hacker stockholm,sweden sequel computerexpert millennium computerprogrammer fatherdaughterrelationship sistersisterrelationship giftedchild",After being enlisted to recover a dangerous computer program hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies cybercriminals and corrupt government officials,FedeÁlvarez,ClaireFoy SverrirGudnason LakeithStanfield
240,438799,tt4530422,Overlord,Horror War ScienceFiction,"france worldwarii nazi normandy,france village d-day laboratory explosion behindenemylines paratrooper 1940s scientificexperiment blacksoldier",France June 1944 On the eve of D-Day some American paratroopers fall behind enemy lines after their aircraft crashes while on a mission to destroy a radio tower in a small village near the beaches of Normandy After reaching their target the surviving paratroopers realise that in addition to fighting the Nazi troops that patrol the village they also must fight against something else,JuliusAvery,JovanAdepo WyattRussell MathildeOllivier
241,537996,tt6412452,The Ballad of Buster Scruggs,Western Comedy Drama,prostitute anthology parody nativeamerican bankrobbery stagecoach cowboy wagontrain singingcowboy americanwest theoldwest,Vignettes weaving together the stories of six individuals in the old West at the end of the Civil War Following the tales of a sharp-shooting songster a wannabe bank robber two weary traveling performers a lone gold prospector a woman traveling the West to an uncertain future and a motley crew of strangers undertaking a carriage ride,JoelandEthanCoen,TimBlakeNelson ZoeKazan LiamNeeson
242,472054,tt6730898,Lazer Team 2,ScienceFiction Action Adventure Comedy,kidnapping galaxy sequel alien file,After Woody goes missing while working on secret alien research the former members of Lazer Team must come together to rescue their lost friend,DanielFabelo&MattHullum,GavinFree MichaelJones BurnieBurns
243,637792,tt7251692,Conundrum: Secrets Among Friends,Drama Thriller,,A story about longtime friends whom have known one another since college All of whom have been doing well since with careers in the entertainment industry on wall street legal and even in the NFL When the group decides to take a weekend getaway to a rented beach house in the Hamptons all hell breaks loose when secrets among them come to light,JoshWebber,
244,338952,tt4123430,Fantastic Beasts: The Crimes of Grindelwald,Fantasy Adventure Family,"paris,france newyorkcity witch magic schoolofwitchcraft sequel prisonescape oldflame wizard magicalcreature 1920s goodversusevil darkmagic follower",Gellert Grindelwald has escaped imprisonment and has begun gathering followers to his cause—elevating wizards above all non-magical beings The only one capable of putting a stop to him is the wizard he once called his closest friend Albus Dumbledore However Dumbledore will need to seek help from the wizard who had thwarted Grindelwald once before his former student Newt Scamander who agrees to help unaware of the dangers that lie ahead Lines are drawn as love and loyalty are tested even among the truest friends and family in an increasingly divided wizarding world,DavidYates,EddieRedmayne KatherineWaterston DanFogler
245,401469,tt4218572,Widows,Crime Thriller,"chicago,illinois politics politician remake flashback heist betrayal money mobboss",A police shootout leaves four thieves dead during an explosive armed robbery attempt in Chicago Their widows have nothing in common except a debt left behind by their spouses' criminal activities Hoping to forge a future on their own terms they join forces to pull off a heist,SteveMcQueen,ViolaDavis MichelleRodriguez ElizabethDebicki
246,490132,tt6966692,Green Book,Drama Comedy,southernusa friendship roadtrip racism pianist driver lgbt roadmovie musictour 1960s roadtrip,Tony Lip a bouncer in 1962 is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line relied on a guide called The Negro Motorist Green Book,PeterFarrelly,ViggoMortensen MahershalaAli LindaCardellini
247,491418,tt7401588,Instant Family,Comedy,adoption socialworker courtcase basedontruestory parenting fosterfamily amusementpark lgbt substanceabuse familydog,When Pete and Ellie decide to start a family they stumble into the world of foster care adoption They hope to take in one small child but when they meet three siblings including a rebellious 15 year old girl they find themselves speeding from zero to three kids overnight,SeanAnders,MarkWahlberg RoseByrne IsabelaMoner
